Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.642,-117.639,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.445851,-117.644152,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.466725,-117.672224,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.465195,-117.62363,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.475291,-117.680498,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.482397,-117.704212,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.531087,-117.708012,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.639801,-117.641841,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.465332,-117.624332,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.475228,-117.680607,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.481886,-117.704192,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.530102,-117.708169,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.640614,-117.642388,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.609813,-117.627392,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.43522,-117.625517,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.547493,-117.722306,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.592319,-117.632839,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.495302,-117.714877,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.576881,-117.640006,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.621308,-117.68977,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.48819,-117.666822,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.567546,-117.748123,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.51045,-117.75281,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.511925,-117.746294,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.54354483,-117.7324621,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.51045,-117.75281,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.509791,-117.75301,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.510137,-117.753276,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.50996424,-117.7531431,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57286,-117.71634,,,,no,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.55218483,-117.7186221,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.59817,-117.746276,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.55909331,-117.7187073,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57322278,-117.7165924,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57301,-117.716,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57321,-117.716,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57458,-117.71565,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57441589,-117.7158908,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.57446983,-117.7156862,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.5646,-117.71865,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.55867,-117.73772,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.463,-117.70566,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.46263,-117.70469,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.46253,-117.70407,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.52965,-117.77347,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.529317,-117.773557,,,,,sites vary in sample frequency,
SOC Historical,SCCWRP,2004,2019,gap,,,Orange,,,33.529629,-117.773878,,,,,sites vary in sample frequency,
