Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Ballona Creek,34.01541,-118.39,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Ballona Creek,33.97902,-118.425,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Ballona Creek,34.04413,-118.354,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Ballona Creek,33.99209,-118.408,,,field,yes,
CEDEN,http://ceden.org/,2018,,,spot,4 (Los Angeles),Los Angeles,,Ballona Creek Reach 1,33.98562,-118.418,,,field,yes,
CEDEN,http://ceden.org/,2018,,,spot,4 (Los Angeles),Los Angeles,,Ballona Creek Reach 1,33.98583,-118.418,,,field,yes,
CEDEN,http://ceden.org/,2018,,,spot,4 (Los Angeles),Los Angeles,,Ballona Creek Reach 1,33.98505,-118.419,,,field,yes,
CEDEN,http://ceden.org/,2018,,,spot,4 (Los Angeles),Los Angeles,,Ballona Creek Reach 1,33.98467,-118.42,,,field,yes,
CEDEN,http://ceden.org/,2018,,,spot,4 (Los Angeles),Los Angeles,,Ballona Creek Reach 1,33.98546,-118.418,,,field,yes,
CEDEN,http://ceden.org/,2011,2019,gap,spot,4 (Los Angeles),Los Angeles,,Boquet Canyon Creek,34.56909,-118.392,,,field,yes,
CEDEN,http://ceden.org/,2001,2013,gap,spot,4 (Los Angeles),Los Angeles,,Boquet Canyon,34.42782,-118.54,,,field,yes,
CEDEN,http://ceden.org/,2008,,,spot,4 (Los Angeles),Los Angeles,,Bull Creek,34.26448,-118.488,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Bull Creek,34.1872,-118.498,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Carbon Canyon Creek,34.03822,-118.649,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Carbon Canyon Creek,34.04106,-118.652,,,field,yes,
CEDEN,http://ceden.org/,2001,,,spot,4 (Los Angeles),Los Angeles,,Castaic Creek,34.49688,-118.612,,,field,yes,
CEDEN,http://ceden.org/,2006,,,spot,4 (Los Angeles),Los Angeles,,Cattle Canyon Creek,34.23,-117.752,,,field,yes,
CEDEN,http://ceden.org/,2008,,,spot,4 (Los Angeles),Los Angeles,,Clearwater Canyon,34.59079,-118.462,,,field,yes,
CEDEN,http://ceden.org/,2010,,,spot,4 (Los Angeles),Los Angeles,,Clearwater Creek,34.59079,-118.462,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Cold Creek,34.07916,-118.701,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Corral Canyon Creek,34.03362,-118.734,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.7769,-118.241,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.87342,-118.291,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.87359,-118.309,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.84128,-118.263,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.85587,-118.279,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.80662,-118.228,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.82468,-118.243,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Channel to Estuary,33.81581,-118.232,,,field,yes,
CEDEN,http://ceden.org/,2012,,,spot,4 (Los Angeles),Los Angeles,,Dominguez Gap West Basin,33.83283,-118.206,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Dume Creek (Zume Canyon),34.01551,-118.819,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,East Fork San Gabriel River,34.2379,-117.821,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Elizabeth Lake Canyon,34.63056,-118.536,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Elizabeth Lake Canyon,34.61528,-118.558,,,field,yes,
CEDEN,http://ceden.org/,2008,,,spot,4 (Los Angeles),Los Angeles,,Encinal Canyon,34.04298,-118.872,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Encinal Canyon Creek,34.03934,-118.869,,,field,yes,
CEDEN,http://ceden.org/,2008,,,spot,4 (Los Angeles),Los Angeles,,Escondido Canyon,34.05145,-118.776,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Escondido Canyon Creek,34.02588,-118.766,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Escondido Canyon Creek,34.05513,-118.777,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Haines canyon channel,34.25182,-118.296,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Ham Canyon,34.12332,-117.772,,,field,yes,
CEDEN,http://ceden.org/,2012,,,spot,4 (Los Angeles),Los Angeles,,Harbor Lake,33.78237,-118.293,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Lachusa Canyon Creek,34.04095,-118.889,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Lachusa Canyon Creek,34.06672,-118.887,,,field,yes,
CEDEN,http://ceden.org/,2008,2019,gap,spot,4 (Los Angeles),Los Angeles,,Las Flores Canyon,34.06064,-118.638,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Las Flores Canyon Creek,34.0448,-118.639,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Las Flores Canyon Creek,34.03748,-118.637,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,Las Virgenes Creek,34.09875,-118.716,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,Las Virgenes Creek,34.14268,-118.701,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Las Virgenes Creek,34.09732,-118.721,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Latigo Canyon Creek,34.03758,-118.766,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Los Alisos Canyon Creek,34.04218,-118.898,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Los Alisos Canyon Creek,34.06189,-118.897,,,field,yes,
CEDEN,http://ceden.org/,2005,,continuous,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,34.15634,-118.639,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,34.15691,-118.303,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,33.86185,-118.197,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,33.99431,-118.181,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,33.76061,-118.199,,,field,yes,
CEDEN,http://ceden.org/,2013,2022,continuous,spot,4 (Los Angeles),Los Angeles,,Los Angeles River,33.8049,-118.205,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Cerritos Channel,33.76641,-118.107,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Cerritos Channel,33.7814,-118.104,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Los Cerritos Channel,33.76523,-118.107,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,Malibu Creek,34.0754,-118.703,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Malibu Creek,34.0429,-118.684,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Mandeville Canyon Creek,34.06108,-118.495,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Mandeville Canyon Creek,34.05976,-118.495,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Marie Canyon Creek,34.03074,-118.711,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,McCoy Canyon,34.24375,-118.222,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,Medea Creek,34.1255,-118.753,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,North Fork San Gabriel River,34.2482,-117.866,,,field,yes,
CEDEN,http://ceden.org/,2003,2005,continuous,spot,4 (Los Angeles),Los Angeles,,Pena Canyon Creek,34.03966,-118.597,,,field,yes,
CEDEN,http://ceden.org/,2004,,,spot,4 (Los Angeles),Los Angeles,,Piedra Gorda Canyon Creek,34.03733,-118.609,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,Piru Creek,34.62763,-118.744,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Piru Creek,34.62833,-118.745,,,field,yes,
CEDEN,http://ceden.org/,2001,,,spot,4 (Los Angeles),Los Angeles,,Piru Creek,34.53338,-118.759,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Piru Creek,34.52696,-118.756,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Puerco Canyon Creek,34.03155,-118.714,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Ramirez Canyon Creek,34.02331,-118.788,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Rustic Canyon Creek,34.03361,-118.518,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Rustic Canyon Creek,34.05101,-118.511,,,field,yes,
CEDEN,http://ceden.org/,2015,,,spot,4 (Los Angeles),Los Angeles,,San Antonio Creek,34.23116,-117.662,,,field,yes,
,http://ceden.org/,2013,,,spot,4 (Los Angeles),Los Angeles,,San Antonio Creek,34.19153,-117.676,,,field,yes,
CEDEN,http://ceden.org/,2011,,,spot,4 (Los Angeles),Los Angeles,,San Francisquito Canyon,34.5749,-118.46,,,field,yes,
,http://ceden.org/,2001,,,spot,4 (Los Angeles),Los Angeles,,San Francisquito Canyon,34.52722,-118.527,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,San Gabriel River,33.85783,-118.112,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,San Nicholas Canyon Creek,34.04516,-118.914,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,San Nicholas Canyon Creek,34.04744,-118.913,,,field,yes,
CEDEN,http://ceden.org/,2001,,,spot,4 (Los Angeles),Los Angeles,,Santa Clara River,34.40138,-118.7,,,field,yes,
,http://ceden.org/,2001,2003,gap,spot,4 (Los Angeles),Los Angeles,,Santa Clara River,34.42556,-118.579,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Santa Monica Canyon Channel,34.02832,-118.519,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Santa Monica Canyon Channel,34.03313,-118.513,,,field,yes,
CEDEN,http://ceden.org/,2003,,,spot,4 (Los Angeles),Los Angeles,,Santa Ynez Canyon,34.07024,-118.563,,,field,yes,
,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Santa Ynez Canyon,34.07757,-118.568,,,field,yes,
CEDEN,http://ceden.org/,2005,2013,gap,spot,4 (Los Angeles),Los Angeles,,Sims Pond,33.76768,-118.118,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Solstice Canyon Creek,34.03194,-118.743,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Solstice Canyon Creek,34.03849,-118.752,,,field,yes,
CEDEN,http://ceden.org/,2003,2004,continuous,spot,4 (Los Angeles),Los Angeles,,Solstice Canyon Creek,34.04975,-118.753,,,field,yes,
CEDEN,http://ceden.org/,2005,,,spot,4 (Los Angeles),Los Angeles,,Stough Canyon (Debris Basin),34.20105,-118.303,,,field,yes,
