Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=165,2005,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,BDT,-121.3231,37.865,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=166,2006,2022,event,,DELTA,CONTRA COSTA,,BET,-121.632187,38.041092,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=167,1998,2014,hourly,,SACRAMENTO R,BUTTE,,BIC,-121.778603,39.768417,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=168,2018,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,BIR,-121.53389,37.943056,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=169,1989,2022,daily,,DELTA,SOLANO,,BKS,-121.7965,38.2759,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=170,1989,2022,hourly,,DELTA,SOLANO,,BKS,-121.7965,38.2759,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=171,2009,2019,event,,SACRAMENTO R,SOLANO,,BLL,-121.9069,38.1801,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=172,2005,2019,hourly,,SACRAMENTO R,SOLANO,,BLL,-121.9069,38.1801,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=173,2010,2022,event,,DELTA,CONTRA COSTA,,BLP,-121.71904,38.032452,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=174,1989,2022,hourly,,SACRAMENTO R,TEHAMA,,BND,-122.186661,40.288486,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=175,1999,2022,hourly,,SACRAMENTO R,TEHAMA,,BNF,-121.986946,40.424332,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=176,2013,2017,event,,BEAR R,PLACER,,BRE,-120.953,39.133,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=177,1990,2022,hourly,,SACRAMENTO R,TEHAMA,,BSF,-122.193,40.417,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=178,1998,2012,hourly,,SACRAMENTO R,SUTTER,,BSO,-121.936569,39.19516,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=179,1999,2012,hourly,,BUTTE CR,BUTTE,,BTG,-121.892662,39.361801,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=180,1998,2012,hourly,,BUTTE CR,BUTTE,,BWC,-121.83651,39.555721,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=181,1990,2002,daily,,SAN JOAQUIN R,MERCED,,C12,-121.058,37.118,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=182,1990,2002,hourly,,SAN JOAQUIN R,MERCED,,C12,-121.058,37.118,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=183,2009,2022,daily,,SAN JOAQUIN R,MERCED,,C13,-121.0151,37.0742,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=184,2009,2022,hourly,,SAN JOAQUIN R,MERCED,,C13,-121.0151,37.0742,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=185,1990,2002,daily,,KINGS R,FRESNO,,C18,-120.229,36.326,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=186,1990,2002,hourly,,KINGS R,FRESNO,,C18,-120.229,36.326,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=187,1990,2009,daily,,KINGS R,KINGS,,C21,-119.9769,36.0142,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=188,1990,2009,hourly,,KINGS R,KINGS,,C21,-119.9769,36.0142,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=189,2022,2022,event,,DELTA,CONTRA COSTA,,C24,-121.954292,38.055096,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=190,1990,2016,daily,,KERN R,KERN,,C29,-119.3299,35.232,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=191,1990,2016,hourly,,KERN R,KERN,,C29,-119.3299,35.232,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=192,2022,2022,event,,DELTA,CONTRA COSTA,,C31,-121.88755,38.04953,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=193,1993,2022,daily,,MOJAVE R,KERN,,C41,-118.7119,34.834,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=194,1993,2022,hourly,,MOJAVE R,KERN,,C41,-118.7119,34.834,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=195,2022,2022,event,,SAN JOAQUIN R,SACRAMENTO,,C42,-121.602684,38.100655,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=196,2003,2022,daily,,MOJAVE R,SAN BERNARDINO,,C66,-117.3036,34.336,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=197,2003,2022,hourly,,MOJAVE R,SAN BERNARDINO,,C66,-117.3036,34.336,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=198,2006,2022,event,,TUOLUMNE R,TUOLUMNE,,CBD,-119.969902,37.890202,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=199,2006,2022,event,,TUOLUMNE R,TUOLUMNE,,CBV,-119.917404,37.967701,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=200,1997,2022,hourly,,SACRAMENTO R,SHASTA,,CCR,-122.356,40.538,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=201,1999,2015,hourly,,DELTA,SOLANO,,CCS,-121.742,38.2918,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=202,2010,2022,event,,RUSSIAN R,MENDOCINO,,CDM,-123.1864,39.1975,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=203,2008,2022,event,,TUOLUMNE R,TUOLUMNE,,CEI,-119.962685,37.894367,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=204,1988,2022,daily,,DELTA,CONTRA COSTA,,CLC,-121.5574,37.8298,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=205,2009,2022,hourly,,DELTA,CONTRA COSTA,,CLC,-121.5574,37.8298,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=206,1999,2022,hourly,,DELTA,SOLANO,,CLL,-121.850123,38.073981,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=207,2001,2011,hourly,,STANISLAUS R,TUOLUMNE,,CLP,-120.378,38.143,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=208,2002,2008,event,,CARMEL R,MONTEREY,,CML,-121.874,36.539,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=209,1999,2022,hourly,,DELTA,CONTRA COSTA,,CNT,-121.702809,37.99495,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=210,1990,2022,daily,,DELTA,SOLANO,,CPP,-122.1347,38.2276,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=211,1990,2022,hourly,,DELTA,SOLANO,,CPP,-122.1347,38.2276,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=212,2000,2022,daily,,MERCED R,MERCED,,CRS,-120.663,37.425,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=213,2000,2022,hourly,,MERCED R,MERCED,,CRS,-120.663,37.425,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=214,2009,2022,hourly,,DELTA,SOLANO,,CSE,-121.8501,38.074,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=215,2000,2022,daily,,SANTA CLARA R,LOS ANGELES,,CSO,-118.611,34.527,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=216,2000,2022,hourly,,SANTA CLARA R,LOS ANGELES,,CSO,-118.611,34.527,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=217,2009,2022,event,,DELTA,SOLANO,,CYG,-122.0908,38.1527,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=218,1998,2004,hourly,,SACRAMENTO R,TEHAMA,,DCH,-121.451057,40.26469,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=219,1998,2022,hourly,,SACRAMENTO R,TEHAMA,,DCV,-121.948318,40.014046,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=220,1992,2022,hourly,,TRINITY R,TRINITY,,DGC,-122.956665,40.645279,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=221,2006,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,DGL,-121.425,37.815,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=222,2009,2022,event,,SACRAMENTO R,SACRAMENTO,,DLC,-121.505,38.245,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=223,2018,2022,hourly,,SACRAMENTO R,SACRAMENTO,,DLC,-121.505,38.245,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=224,1989,2022,hourly,,SACRAMENTO R,SHASTA,,DLT,-122.417236,40.939594,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=225,1999,2022,hourly,,SAN JOAQUIN R,FRESNO,,DM2,-120.439097,36.829918,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=226,1999,2022,hourly,,SAN JOAQUIN R,FRESNO,,DM3,-120.372473,36.780899,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=227,1999,2022,hourly,,DELTA,ALAMEDA,,DMC,-121.590239,37.781567,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=228,2004,2022,event,,SAN JOAQUIN R,MADERA,,DNB,-119.9658,36.8335,,,logger,yes,
