Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments,
RB9,SCCWRP,2017,,6 hrs,,,Orange,,901BELOLV,33.6406,-117.5531,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,Riverside,,901NP9BWR,33.53063,-117.42908,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,Orange,,901NP9CSC,33.5919,-117.5216,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,Orange,,901NP9FLC,33.67583,-117.53655,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,Orange,,901NP9HJC,33.68461,-117.51474,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,Riverside,,901NP9LCC,33.62752,-117.42857,,,,no,impaired; New Development kicked out of reference using NLCD 2016,
RB9,SCCWRP,2013,2016,6 hrs,,,Riverside,,901NP9MRC,33.62609,-117.38953,,,,no,impaired; Logger deployed in a pool that retained water when rest of stream was dry. Water level corrected to depict stream baseflow while conductivity left as raw data.,
RB9,SCCWRP,2017,2018,6 hrs,,,Riverside,,901NP9TNC,33.526506,-117.405504,,,,no,reference; to be added,
RB9,SCCWRP,2015,2017,6 hrs,,,Riverside,,901S00469,33.52999,-117.408551,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,Riverside,,901S01849,33.555239,-117.397797,,,,no,reference,
RB9,SCCWRP,2013,2018,6 hrs,,,Riverside,,902NP9CWC,33.41925,-116.86102,,,,no,reference,
RB9,SCCWRP,2015,2017,6 hrs,,,San Diego,,903ACPCT1,33.29595,-116.63863,,,,no,reference,
RB9,SCCWRP,2016,2018,6 hrs,,,San Diego,,903CVPCT,33.26801,-116.6394,,,,no,impaired; Meets GIS but COWS,
RB9,SCCWRP,2015,2022,6 hrs,,,San Diego,,903FCPSPx,33.35017,-116.91278,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,903NP9LWF,33.30962,-116.77768,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,903NP9PRC,33.26041,-116.80917,,,,no,reference,
RB9,SCCWRP,2013,2016,6 hrs,,,San Diego,,903NP9SLR,33.34992,-116.6649,,,,no,impaired,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,903NP9UAC,33.32036,-116.62265,,,,no,reference,
RB9,SCCWRP,2015,2017,6 hrs,,,San Diego,,903SLFRCx,33.34398,-116.8817,,,,no,impaired; Campground and gw discharges,
RB9,SCCWRP,2015,2017,6 hrs,,,San Diego,,903WE0798,33.33669,-116.82848,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,903WE0900,33.33043,-116.81564,,,,no,reference,
RB9,SCCWRP,2013,2019,6 hrs,,,San Diego,,905DGCC1x,33.157712,-116.840843,,,,no,reference,
RB9,SCCWRP,2013,2016,6 hrs,,,San Diego,,905SDBDN9,33.093324,-116.897295,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,905WE0679,33.13163,-116.6544,,,,no,reference,
RB9,SCCWRP,,,6 hrs,,,San Diego,,907NP9CMC,33.09779,-116.66214,,,,no,impaired; to be added,
RB9,SCCWRP,2016,2018,6 hrs,,,San Diego,,907SDCHC3,32.84722,-116.80694,,,,no,impaired; urbanized site,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,909NP9DCC,32.89021,-116.57465,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,909NP9UNT,32.88172,-116.58538,,,,no,reference,
RB9,SCCWRP,2015,2017,6 hrs,,,San Diego,,909S00282,32.87185,-116.61372,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,909SWCASR,32.94249,-116.55409,,,,no,reference,
RB9,SCCWRP,,,6 hrs,,,San Diego,,911CCH80x,32.78803,-116.49761,,,,no,impaired; to be added,
RB9,SCCWRP,2013,2016,6 hrs,,,San Diego,,911COPPER,32.5616,-116.8291,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,911KCKCRX,32.78751,-116.451054,,,,no,reference,
RB9,SCCWRP,2013,2016,6 hrs,,,San Diego,,911NP9ATC,32.76824,-116.41757,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,911NP9EPC,32.74481,-116.6488,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,911NP9HTC,32.75409,-116.66267,,,,no,reference,
RB9,SCCWRP,,,6 hrs,,,San Diego,,911NP9LPC,32.70138,-116.48352,,,,no,reference; to be added,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,911NP9SCC,32.76151,-116.63649,,,,no,reference,
RB9,SCCWRP,2013,2017,6 hrs,,,San Diego,,911NP9UCW,32.81829,-116.49235,,,,no,reference,
RB9,SCCWRP,2015,2017,6 hrs,,,San Diego,,911S00858,32.902824,-116.493371,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,911S01142,32.735477,-116.652682,,,,no,reference,
RB9,SCCWRP,2015,2021,6 hrs,,,San Diego,,911TJKC1x,32.76012,-116.45123,,,,no,reference,
RB9,SCCWRP,2015,2016,6 hrs,,,San Diego,,911TJLCC2,32.77836,-116.44337,,,,no,reference,
,,,,,,,,,,,,,,,,,
